Data;dolar australian (lei) CURSZ_AUD;dolar canadian (lei) CURSZ_CAD;franc elveţian (lei) CURSZ_CHF;euro (lei) CURSZ_EUR;leu moldovenesc (lei) CURSZ_MDL;dolar SUA (lei) CURSZ_USD
15.03.2024;2,9969;3,3726;5,1649;4,9707;0,2581;4,5645
14.03.2024;3,0093;3,3743;5,1662;4,9712;0,258;4,5441
13.03.2024;3,0038;3,3684;5,1739;4,9675;0,2574;4,544
12.03.2024;3,0046;3,3725;5,1829;4,9665;0,2563;4,5427
11.03.2024;3,0037;3,3695;5,1768;4,9671;0,257;4,5397
08.03.2024;3,0212;3,3826;5,1867;4,9691;0,2572;4,5463
07.03.2024;3,0127;3,3797;5,1808;4,9707;0,2573;4,5632
06.03.2024;2,9812;3,3649;5,1647;4,9718;0,2582;4,5713
05.03.2024;2,9762;3,3736;5,1707;4,9719;0,258;4,582
04.03.2024;2,9857;3,3759;5,1842;4,9698;0,2587;4,5788
01.03.2024;2,991;3,3865;5,1913;4,9699;0,2577;4,5984
29.02.2024;2,9766;3,3717;5,2072;4,969;0,2577;4,5823
28.02.2024;2,9844;3,3838;5,2225;4,97;0,2564;4,5955
27.02.2024;2,9997;3,393;5,203;4,9686;0,2559;4,5785
26.02.2024;3,0023;3,3915;5,2137;4,9731;0,2564;4,5843
23.02.2024;3,016;3,4081;5,2177;4,9753;0,2557;4,597
22.02.2024;3,0185;3,4069;5,2243;4,9769;0,2573;4,5843
21.02.2024;3,0209;3,4066;5,2331;4,9759;0,2575;4,6073
20.02.2024;3,0214;3,4168;5,2289;4,9771;0,2583;4,6069
19.02.2024;3,0196;3,4266;5,2445;4,9773;0,2584;4,6189
16.02.2024;3,0156;3,4276;5,245;4,977;0,2597;4,6207
15.02.2024;3,0125;3,4248;5,2502;4,9767;0,2612;4,6364
14.02.2024;3,0117;3,4347;5,2387;4,976;0,2596;4,6505
13.02.2024;3,0115;3,4345;5,251;4,9761;0,2594;4,6186
12.02.2024;3,01;3,4283;5,2752;4,9753;0,2593;4,617
09.02.2024;3,0073;3,4343;5,2792;4,977;0,2593;4,6214
08.02.2024;3,0052;3,43;5,2893;4,9764;0,2592;4,6195
07.02.2024;3,0137;3,4282;5,2971;4,9769;0,2601;4,6228
06.02.2024;3,0106;3,4245;5,3137;4,976;0,2599;4,637
05.02.2024;3,0068;3,4304;5,3208;4,9736;0,2565;4,627
02.02.2024;3,0167;3,4174;5,3393;4,9728;0,2587;4,5697
01.02.2024;3,0018;3,425;5,3374;4,9747;0,2584;4,6088
31.01.2024;3,0233;3,4223;5,319;4,9759;0,2587;4,5962
30.01.2024;3,0316;3,4261;5,3232;4,9769;0,2592;4,5925
29.01.2024;3,036;3,4233;5,337;4,977;0,258;4,6007
26.01.2024;3,0221;3,406;5,3058;4,9763;0,2575;4,5812
25.01.2024;3,0101;3,3825;5,2854;4,9765;0,2576;4,5681
23.01.2024;3,0134;3,3964;5,2672;4,9767;0,2573;4,578
22.01.2024;3,0119;3,4052;5,2631;4,9768;0,2576;4,5705
19.01.2024;3,0177;3,3955;5,2629;4,9769;0,2581;4,5735
18.01.2024;2,9988;3,3858;5,2832;4,9765;0,259;4,5679
17.01.2024;2,9986;3,3848;5,3004;4,9752;0,2583;4,5762
16.01.2024;3,0184;3,388;5,3115;4,9761;0,2571;4,5724
15.01.2024;3,0285;3,389;5,3231;4,9736;0,2562;4,5481
